,dayHistory,dayInfo,infoDate,infoDayweek,infoMonth,maxTemp,maxYear,minTemp,minYear,sunDown,sunUp,tempMax,tempMin
10," Народный прогноз погоды: 1 ноября отмечается день памяти святого Садока, епископа Персидского. Издавна первый день ноября считался проводами осени, встречей зимы и отмечался повсюду. Если в этот день будет холодно и пойдет снег, то весна будет поздняя и холодная, а если сегодня случится оттепель — в следующем году весна будет теплой и ранней.","  С утра и до самого вечера небо в Запорожье было скрыто за облаками. Во второй половине дня пошел снег, который продолжался до самого вечера.  ",11,Среда,января,10.4°, 2005,-29.0°, 1950 ,17:11,08:23,+1°,-3°
11," Народный прогноз погоды: 12 января почитается память святой Анисии. В народе этот день назывался «Анисьи зимние» или «Анисьи Желудочницы». В старину в этот день варили свиные желудки и резали гусей. По внутренностям животных гадали о зиме. Если селезенка была ровной и гладкой, то ожидали зимы суровой. Толстая печень в середине означала, что стужи начнутся с половины зимы, а широкая сторона печени к брюху обещала морозы и перезимья. В народе говорили: «Ко дню Анисьи холода над землей повисли».",   ,12,Четверг,января,8.9°, 2005,-27.9°, 1950 ,17:12,08:23,+3°,-4°
12," Народный прогноз погоды: 13 января отмечается день памяти преподобной Мелании Римляныни. В народе называют этот день «Щедрый вечер». Погода каждого последующего дня соответствовала погоде каждого из двенадцати месяцев. Если в ночь ветер дул южный, то год ожидали жаркий и урожайный. Западный ветер предвещал хорошие надои и обилие рыбы, а восточный — обильный урожай фруктов. Если замечали на окнах лёд, то рассчитывали на обилие мёда. С этого времени день прибывает на час.","  На протяжении всего дня погода в Запорожье была пасмурной. Сильный дождь со снегом начался еще до рассвета, но к середине дня прекратился.  ",13,Пятница,января,9.7°, 1955,-23.2°, 1972 ,17:13,08:22,-3°,-9°
13," Народный прогноз погоды: 14 января почитается память святителя Василия Великого, архиепископа Кесарии Каппадокийской. Если на Василия с утра туман, то будет хороший урожай летом и осенью. Если будет много звезд на небе — будет много ягод летом. В прежние времена говорили: «Коли Васильев день в году веселый, то и год таков», «Старый год — к весне поворот». Если на Василия тепло и снег — лето будет теплым и дождливым.",  Весь день в Запорожье было облачно. Без осадков.  ,14,Суббота,января,9.1°, 1955,-28.3°, 1950 ,17:15,08:22,+3°,-4°
14," Народный прогноз погоды: 15 января почитается память святителя Сильвестра Римского, преподобных Сильвестра Печерского и Серафима Саровского. В прежние времена в этот день был Куриный праздник. 15 января чистили курятники и окуривали их смолою с девясилом. Синие вечерние облака в этот день предвещали перемену погоды. Наблюдали также за месяцем: если его рога остры и ярки, следует ожидать ветра. В народе говорили: «Январь гонит вьюгу за семь верст» — этот месяц хоть и холодный, но относительно спокойный.","  В Запорожье облачная погода продержалась весь день. Утренний дождь днем сменился снегом, который закончился до наступления вечера.  ",15,Воскресенье,января,11.0°, 1955,-25.4°, 1954 ,17:16,08:21,+1°,0°
15," Народный прогноз погоды: В этот день почитается память святого пророка Малахии. По народному поверью, только в этот день можно образумить одержимого меланхолией человека. И если сейчас меланхоличность считается чертой характера, то в прежние времена это считалось душевной болезнью. Если в этот день на небе появлялось белое большое облако, это предвещало вьюгу и метель. Погода на Малахию указывает, какой будет погода в марте.",  В Запорожье солнце в этот день редко показывалось из-за облаков. Без осадков.  ,16,Понедельник,января,6.7°, 1981,-21.6°, 1972 ,17:17,08:20,0°,-3°
16," Народный прогноз погоды: 17 января почитается память преподобного Феоктиста, Зосимы Пустынника, который жил в IV веке. В народе Зосима считается покровителем пчел. О пчелах толкует и примета этого дня: если в этот день «снег на деревьях сучья гнет — летом пчелы роиться будут». А если на небе нет облаков при сильном морозе, то морозная погода будет стоять и дальше и не скоро отступит.",  Ясной погодой нас этот день не порадовал - в Запорожье тучи закрыли небо уже с самого утра и никуда не делись до позднего вечера. Без осадков.  ,17,Вторник,января,7.0°, 1955,-22.7°, 1976 ,17:19,08:19,-2°,-6°
17," Народный прогноз погоды: 18 января отмечается Крещенский сочельник, канун Богоявления. В этот день соблюдается строгий пост, поэтому канун Богоявления называют еще Голодной кутёй. Если в этот день метель, снег и позёмка — быть хорошему урожаю. Если звездная ночь на Крещение — будет урожай ягод, гороха и хлеба. Сильные южные ветры 18 января предвещают грозное лето, а метель на Крещение приносит метель и на Масленицу. Полный месяц в этот день обещает большой разлив рек весной.","  В Запорожье к вечеру тучи, царившие в небе весь день, убрались восвояси. Без осадков.  ",18,Среда,января,10.1°," 1948, 1955",-23.4°, 1964 ,17:20,08:19,-5°,-6°
18," Народный прогноз погоды: 19 января отмечается праздник Крещения Господня или Богоявления. По погоде этого дня во многом судили о погоде на лето. Если в этот день холодная, ясная погода — лето засушливым будет. Пасмурная и снежная погода указывала на обильный урожай. В старину говорили: «День тёплый — хлеб тёмный (густой)», значит следовало ожидать хорошего урожая хлебов. Также на хороший урожай указывали синие облака и снег хлопьями.","  В Запорожье пасмурная погода уступила свои позиции во второй половине дня, но уже к вечеру небо опять затянулось облаками. Без осадков.  ",19,Четверг,января,10.8°, 1955,-23.4°, 1950 ,17:22,08:18,-6°,-13°
19," Народный прогноз погоды: 20 января отмечается Собор Предтечи и Крестителя Господня Иоанна. Этот день является концом святок: «Иван Креститель праздники увел». Если в этот день стояла ясная и холодная погода, то лето ожидалось засушливое, а пасмурная и снежная погода намекала на обильный урожай. К 20-му января заканчивались Крещенские морозы, и хотя впереди еще была почти половина зимы, люди уже жили в ожидании тепла: «Трещи, мороз не трещи — минули Водохрещи: дуй, вьюга, не дуй — к Великодню пошло».",   ,20,Пятница,января,10.7°, 1948,-24.5°, 1950 ,17:23,08:17,-4°,-15°
20," Народный прогноз погоды: 21 января почитается память Емилиана, исповедника. Раньше метели и бураны в этот день были обычным явлением, о чём говорит и пословица: «Емельян, накрути буран». Следили в этот день в основном за ветром: если на Емельяна подует с юга — лето будет грозным, а если день выдастся ясным, то следует ожидать засушливого лета.","  Облачная погода продержалась в Запорожье до самого вечера. Утром прошел мелкий дождь, вечером - мелкий снег.  ",21,Суббота,января,13.0°, 1948,-23.4°," 1950, 2006 ",17:24,08:16,-1°,-4°
21," Народный прогноз погоды: В этот день почитается память святого Полиевкта. В народе про этот период января говорили так: «Растет день в январе — растет и холод», что указывало на приближение месяца февраля, который считался самым холодным месяцем зимы. Наблюдали наши предки в этот день за домашним скотом: если домашний скот, выпущенный во двор, будет стремиться вернуться в хлев — быть вскоре снегу и холоду.",  С самого утра и до позднего вечера небо в Запорожье оставалось ясным и безоблачным. Без осадков.  ,22,Воскресенье,января,14.1°, 1948,-22.8°," 1950, 2006 ",17:26,08:15,0°,-7°
22," Народный прогноз погоды: 23 января почитается память святителя Григория, епископа Нисского. В народе этого святого называли Летоуказателем, потому как природные явления этого дня указывали на погоду будущим летом. Если в этот день будет иней на деревьях и стогах, то лето будет мокрое и холодное. Если ветер дует с юга — лето будет грозное. Если наши предки в этот день наблюдали иней, то верили, что 15—16 июля будет дождь.",  В Запорожье на небе до позднего вечера не было ни облачка. Без осадков.  ,23,Понедельник,января,10.4°, 1995,-23.1°," 1963, 2006 ",17:27,08:14,+1°,-7°
23," Народный прогноз погоды: 24 января отмечается день памяти преподобного Феодосия Великого. В народе этот день назывался «Федосеево тепло». Как правило, в этот день на самом деле была теплая погода, но люди опасались такого тепла и говорили: «Бойся январской весны», хотя теплая погода в этот день предвещала раннюю и тёплую весну. Если на Феодосия была оттепель, то готовились к затяжной весне.","  В этот день в Запорожье с утра и до самого вечера сохранялась пасмурная погода. Весь день прошел без осадков, только вечером начался дождь.  ",24,Вторник,января,8.4°," 1971, 2007",-23.1°," 1954, 2006 ",17:29,08:13,0°,-7°
24," Народный прогноз погоды: 25 января почитается память святой Татианы. В народе этот день называли «Татьяна Крещенская», «Бабий кут». Если в этот день шел снег, то лето ожидали дождливое, если было морозно, ясно — лето обещало быть теплым, а год — плодородным: «Если снегопад — летом дождик част». А вот теплая метель на Татьяну и «гнилой ветер» (южный) были нежеланными явлениями в этот день, поскольку указывали на неурожай и засуху.","  Облачная погода продержалась в Запорожье до самого вечера. Утром шел снег, после полудня - сильный дождь со снегом, ближе к вечеру - снег.  ",25,Среда,января,9.5°, 1993,-24.3°," 1968, 2006 ",17:31,08:12,-1°,-7°
25," Народный прогноз погоды: В этот день почитается память преподобного Иринарха, затворника. Судили о погоде этого дня по месяцу: если около него был туманный круг, ожидали метели. Наши предки прислушивались к лесу и наблюдали за животными, чтобы узнать предстоящую погоду. Если в этот день лес трещит — мороз будет стоять долго, если лес шумит, вскоре будут снег и оттепель. Если на Иринарха кошка мордочку прячет — быть морозу; собака лежит, свернувшись — к холоду, вытянувшись — к теплу.","  Вечером в Запорожье погода прояснилась, но до этого момента небо все время было покрыто облаками. На протяжении всего дня шел снег, который ближе к вечеру закончился.  ",26,Четверг,января,6.2°, 1986,-23.2°, 1947 ,17:32,08:11,-8°,-17°
26," Народный прогноз погоды: 27 января отмечается память преподобных Исаии, Саввы, Моисея. В старину заметили, если в ночь на 27 января на небе много звёзд, то вскоре будет тепло и снежно; если же звёзд немного, то будет ненастье и вьюга. Белые облака в этот день обещали мороз. Если поутру ворона раскаркалась, то следует ждать метель. А если петухи спозаранку закричали в морозный день, то холод скоро отступит.","  В Запорожье на протяжении всего дня стояла облачная погода. Утром начался снег, который закончился только ближе к вечеру.  ",27,Пятница,января,7.4°, 1995,-28.0°, 1954 ,17:34,08:10,-8°,-17°
27," Народный прогноз погоды: 28 января почитается память преподобного Павла Фивейского и Иоанна Кущника. В прежние времена была такая поговорка: «Пётр-Павел дня прибавил», что указывало на увеличение световой части дня. В старину, чтобы узнать погоду, наблюдали за небом. Если звёзды сильно блестят, то быть морозу, а если они тусклые, то будет тепло. Если с севера приходили тучи, то оттепели не ждали. Снежный буран днем на Павла предвещал крепкий мороз ночью.",  На протяжении всего дня погода в Запорожье была пасмурной. С утра и до позднего вечера шел снег.  ,28,Суббота,января,9.5°, 1983,-27.1°, 1963 ,17:35,08:09,-5°,-9°
28," Народный прогноз погоды: 29 января отмечается день поклонения честным цепям апостола Петра. В народе этот день называли Пётр-полукорм, поскольку до этого времени у крестьян выходила половина зимнего корма для скота. По этому поводу народ приметил: «Если в амбарах ржаного хлеба осталось больше половины, быть хорошему урожаю». Погоду в этот день предсказывал ветер: если он дул с северной стороны, ожидали сильного мороза.","  Днем и вечером небо в Запорожье оставалось ясным, и ничто не напомнило об утренних облаках. Ночью был снег, которому утром на смену пришел дождь со снегом. Во второй половине дня осадков не наблюдалось.  ",29,Воскресенье,января,10.4°," 1956, 1986",-25.6°, 1963 ,17:37,08:07,-4°,-17°
29," Народный прогноз погоды: В этот день почитается память преподобного Антония Великого. В прежние времена этот день называли Антон Перезимний — именно 30 января считалось серединой зимы. В этот день часто случались оттепели, а следом за ними наступали сильные морозы. Отсюда и примета, что зимнему теплу верить нельзя: «Перезимник обнадежит, обтеплит, а потом обманет — все морозом стянет». Если на Антония небо заволакивалось тучами, ожидали метели.","  Весь день небо в Запорожье было ясным, и тучи не омрачили его своим присутствием. Без осадков.  ",30,Понедельник,января,9.7°, 1979,-23.1°, 1947 ,17:38,08:06,-12°,-20°
30, Народный прогноз погоды: В этот день почитается память преподобного Илариона Великого. В народе говорили: «В ноябре мороз приосанивается». Наши предки приметили: если 3 ноября стоит ясная безоблачная погода — это признак скорого быстрого понижения температуры.,"  С утра небо в Запорожье было ясным, таким оно и оставалось до завершения дня. Без осадков.  ",31,Вторник,января,10.0°, 2001,-24.2°, 1947 ,17:40,08:05,-9°,-20°
31," Народный прогноз погоды: 1 февраля отмечается день памяти преподобного Макария Великого. Если на Макария погода стояла ясная или случалась капель, то ожидали раннюю весну: «Коли капель — в весну раннюю верь». А вот если вечером на небе было много звезд, то зима еще долго обещала продержаться. Если на Макария кружила метель, то верили, что еще долго будет метельная погода. Этот день называли еще Громницей, так как это единственный день зимой, когда может приключиться гроза.",  В этот день в Запорожье с утра и до самого вечера сохранялась пасмурная погода. Без осадков.  ,01,Среда,февраля,9.3°, 2002,-24.1°, 1956 ,17:41,08:03,-5°,-18°
32," Народный прогноз погоды: 2 февраля почитается память преподобного Евфимия Великого. В народе этот день называли «Ефимкины метели». По метелям наши предки предсказывали погоду на ближайшее будущее. Если 2 февраля метет метель, то вся Масленая неделя будет метельной. Если этот день выдавался пасмурным, то стоило ждать поздних метелей. А если на Ефимия в полдень было солнце, то весну ожидали раннюю.","  Весь день в Запорожье было облачно. Утро и день прошли без осадков, только ближе к вечеру начался снег.  ",02,Четверг,февраля,6.2°, 2002,-27.4°, 1954 ,17:43,08:02,-4°,-7°
33," Народный прогноз погоды: В этот день почитается память преподобного Максима Исповедника и Максима Грека. В старину была такая поговорка: «Если месяц заскользил, в тучу белый рог вонзил — будет доброе жито да мука в сито» - молодой месяц в облаках указывал на хороший урожай. А вот ясное небо предвещало недород. Ярко-красный закат 3 февраля указывал на морозный ясный завтрашний день; а ясная погода — на раннюю весну. Если днем солнце светит ярко, то летом на фруктовых деревьях плоды червивы будут, а если оно за облака прячется, плоды будут чисты и здоровы.","  В Запорожье солнце в этот день редко показывалось из-за облаков. Весь день прошел без осадков, только вечером начался мелкий дождь.  ",03,Пятница,февраля,10.5°, 2002,-22.5°, 1956 ,17:45,08:01,0°,-7°
34," Народный прогноз погоды: 4 февраля отмечается день памяти апостола Тимофея. В прежние времена этот день был оплотом метелей, вьюг и морозов: «Это не диво, что Афанасий-ломонос (31 января) морозил нос, а ты подожди тимофеевских морозов». Именно мороз определял предстоящую погоду. Если в мороз вспотели оконницы и рамы, надо ждать потепления. Если «снежные узоры» поднимаются вверх по стеклу, значит морозу продолжаться, а если наклонились — к оттепели. Если в полдень на Тимофея светит солнышко — весна идет ранняя.",  Весь день в Запорожье было облачно. Дождь шел ночью и днем и закончился лишь к вечеру.  ,04,Суббота,февраля,7.8°, 1981,-23.3°, 1950 ,17:46,07:59,+3°,0°
35," Народный прогноз погоды: 5 февраля почитается память святого Агафангела. В прежние времена погоду в этот день предсказывали белки и птицы. Если во время мороза она покидает гнездо и спускается с дерева, это означает, что следует ждать оттепели. Если утром наши предки отчетливо слышали крик синицы, то они готовились к серьезным морозам.",  Весь день в Запорожье было облачно. Без осадков.  ,05,Воскресенье,февраля,11.7°, 1981,-27.2°, 1954 ,17:48,07:58,+1°,-1°
36," Народный прогноз погоды: В этот день почитается память преподобной Ксении. Этот день считали переломом зимы, и по нему судили о предстоящей весне: «Какова Аксинья — такова весна». «Если на Аксинью вёдро (хорошая погода) — весна будет красная (хорошая)». Наши предки говорили: «На полузимницу дорогу переметает — корм подметает». Это означало, что зима задержится, и домашние животные съедят все заготовленные для них запасы.",  Облачная погода продержалась в Запорожье до самого вечера. Всю вторую половину дня шел сильный дождь со снегом.  ,06,Понедельник,февраля,13.6°, 1999,-24.5°, 1950 ,17:49,07:56,0°,-6°
37," Народный прогноз погоды: 7 февраля отмечается день памяти святителя Григория Богослова. В прежние времена по этому дню судили о будущей зиме. Каким этот день будет с утра до полудня, такой будет и первая половина следующей зимы, а погода с полудня до вечера указывает на вторую половину зимы. Густой туман предвещал мор скота, а ясная погода говорила о том, что будет хороший год.","  В Запорожье облачная погода продержалась весь день. Сильный дождь со снегом шел ночью, но еще до наступления утра закончился. Во второй половине дня начался снег, который не успокоился до позднего вечера.  ",07,Вторник,февраля,10.7°, 1974,-21.7°," 1954, 2006 ",17:51,07:55,-8°,-10°
38," Народный прогноз погоды: 8 февраля почитается память преподобного Ксенофонта и супруги его Марии. В прежние времена предсказывать погоду нашим предкам помогали мыши: если на Ксенофонта они вылазят из-под снега, следует ждать оттепели. В старину в этот день опасались метели, поскольку она указывала на плохой урожай в будущем году: «Метель на дома — будут плохи корма».","  Несмотря на то, что в Запорожье на протяжении дня погода была пасмурной, вечером все же произошло прояснение. Ночью пошел мелкий снег, но ближе к утру он закончился. До завершения дня осадков больше не наблюдалось.  ",08,Среда,февраля,10.6°, 1999,-22.0°, 1954 ,17:52,07:53,-9°,-13°
39," Народный прогноз погоды: 9 февраля отмечается перенесение мощей святителя Иоанна Златоуста из г. Коман в г. Константинополь. Несмотря на то, что этот месяц считается самым холодным, в этот день случались оттепели. Но были они непродолжительными. Поэтому в народе говорили: «Февральская оттепель ничего не стоит». В этот день наши предки наблюдали за облаками: если облака идут против ветра — к снегу. На снегопад также указывал дым из трубы: если он стелился по земле без ветра, следовало ожидать снега.",  В Запорожье облаков на небе в этот день никто так и не увидел. Без осадков.  ,09,Четверг,февраля,7.9°," 2004, 2007",-22.1°, 1954 ,17:54,07:52,-8°,-15°
40," Народный прогноз погоды: В этот день почитается память преподобного Ефрема Сирина. В народе этот день называли Ефрем Ветродуй. Люди боялись ветра 10 февраля, поскольку он предвещал сырое, холодное лето. Поэтому и говорили: «Не к добру летнему Ефремов ветер». Еще до нас дошли наблюдения за снегом: если выпавший ночью снег останется на ветках деревьев, то и на земле не растает.","  В Запорожье до самого вечера держалась пасмурная погода, и лишь под конец дня небо очистилось от облаков. Утром пошел снег, но еще в первой половине дня он закончился.  ",10,Пятница,февраля,11.0°, 2002,-21.4°, 1985 ,17:56,07:50,-10°,-16°
