,infoDayweek,infoDate,infoMonth,sunUp,sunDown,tempMax,tempMin,maxTemp,maxYear,minTemp,minYear,dayInfo,dayHistory
44,Среда,14,февраля,06:44,16:53,-4°,-7°,5.3°," 1962, 2007",-20.7°, 1980 ,"  На протяжении всего дня погода в Харькове была пасмурной. Ночью был мелкий снег, которому утром на смену пришел сильный дождь со снегом. Во второй половине дня осадков не наблюдалось.  "," Народный прогноз погоды: В этот день почитается память мученика Трифона. О погоде наши предки судили по небу: если на Трифона небо было усыпано звездами, то ожидали поздней весны. Если в этот день выпадал снег, это расценивали как предупреждение о дождливой весне. Если к концу дня небо покрывалось туманным слоем белых облаков, ожидали в скором времени хорошую погоду. Вообще по погоде этого дня судили о погоде до конца зимы: «Каков Трифон, таковы и оставшиеся дни февраля»."
45,Четверг,15,февраля,06:42,16:55,-2°,-4°,8.6°, 1962,-21.7°," 1953, 2006 ","  На протяжении всего дня небо в Харькове было покрыто облаками. Ночной мелкий дождь к утру сменился на снег. Середина дня прошла без осадков, а вечером начался сильный дождь.  "," Народный прогноз погоды: 15 февраля отмечается праздник Сретения Господня. Какая погода на Сретенье — такой и весна будет. Если на Сретенье дорогу переметает — весна будет поздней и холодной. Если тепло на Сретенье — весна будет ранней и теплой. «Если в этот день снежок — весной будет дожжок», то есть весна будет затяжной и дождливой. Предсказать погоду могла и курица: если напьется у порога воды — весна будет теплой и ранней."
46,Пятница,16,февраля,06:41,16:56,-2°,-3°,5.3°, 1957,-21.8°, 1979 ,"  С утра и до самого вечера небо в Харькове было скрыто за облаками. Утром прошел снег, вечером - мелкий дождь.  "," Народный прогноз погоды: 16 февраля почетается память праведных Симеона-Богоприимца, Анны-пророчицы и Власия Кесарийского. С этого дня в старину начинались починки — подготовка орудия для весеннего сева. По этому поводу люди говорили: «В починки дед встает чуть свет — чинит сбрую летнюю да бороду столетнюю». На Власия часто бывают большие лужи. Но тёплая погода в этот день случается редко, ведь 16 февраля известно власиевскими морозами."
47,Суббота,17,февраля,06:39,16:58,-1°,-3°,7.2°, 1957,-25.4°, 1954 ,"  В Харькове солнце в этот день редко показывалось из-за облаков. Сильный дождь шел ночью, но еще до наступления утра закончился. Во второй половине дня он возобновился с меньшей силой, а вечером ему на смену пришел сильный дождь со снегом.  "," Народный прогноз погоды: В этот день почитается память преподобного Николая Студийского. Этот день известен как начало звериных (волчьих) свадеб, поэтому святого Николая Студийского называли «волчьим сватом». Этот день считается одним из самых холодных в феврале — стоят сильные морозы, и идет снег: «На Николу Студеного снегу навалит гору». Эти морозы называются никольскими. Наши предки 17 февраля обращали внимание на еловые ветки: если длинные сухие еловые ветви сгибаются — будет метель, а если распрямляются — погода будет благоприятной."
48,Воскресенье,18,февраля,06:37,17:00,+1°,-3°,9.6°, 2002,-23.2°, 1985 ,  Облачная погода продержалась в Харькове до самого вечера. Без осадков.  ," Народный прогноз погоды: 18 февраля отмечается день памяти мученицы Агафии. Cвятую Агафью называли «поминальницей», потому что в этот день было принято поминать предков. Еще эту святую называли Коровница, поскольку она «коров оберегает от болезней». Наши предки заметили, если в этот день мороз, то весна будет «дружной», а лето — сухим и жарким."
49,Понедельник,19,февраля,06:35,17:01,0°,-3°,9.2°, 1955,-29.3°, 1954 ,  На протяжении всего дня небо в Харькове было покрыто облаками. Утренний мелкий снег днем усилился и продолжал идти до самого вечера.  ," Народный прогноз погоды: 19 февраля почитается память преподобного Вукола Смирнского. Морозы в этот день обещают бурную весну и сухое жаркое лето. А на сами морозы указывала вода в колодцах: если она поднимается, то следует ждать морозной погоды. Также морозы предвещал северный ветер и кукушка, которая кукует на сухом дереве."
50,Вторник,20,февраля,06:33,17:03,-3°,-6°,5.5°, 2002,-29.2°, 1954 ,  На протяжении всего дня погода в Харькове была пасмурной. Утром пошел дождь со снегом и закончился в середине дня. Больше осадков не наблюдалось.  , Народный прогноз погоды: В этот день почитается память преподобного Луки Елладского. В старину была вкусная традиция печь в этот день пирожки с луком. А погоду нашим предкам в этот день предсказывали солнце и облака: если солнце «заходит красно» — будет холодное лето; облака высоко — к хорошей погоде.
51,Среда,21,февраля,06:31,17:05,-3°,-10°,7.6°, 2002,-26.6°, 1954 ,"  В этот день в Харькове с утра и до самого вечера сохранялась пасмурная погода. Утром пошел мелкий снег, который закончился еще до середины дня. Больше осадков не было.  "," Народный прогноз погоды: 2 декабря отмечается день пророка Авдия. В народе этот день называется Авдея Радетеля. В старину говорили: «Метель дорогу перенимает, в щели земные, в трещины лихие болезни загоняет». О предстоящей погоде судили по птицам: если к этому дню они прилетают с севера — это признак ранних холодов."
52,Четверг,22,февраля,06:29,17:06,-5°,-11°,6.6°, 1955,-24.3°, 1954 ,"  Несмотря на то, что утром небо в Харькове было покрыто облаками, день и вечер оставались ясными и безоблачными. Ночной снег утром ослабел и вскоре закончился.  "," Народный прогноз погоды: 22 февраля в народе называется Никифоры-Панкраты. С этого дня сильный мороз чаще бывает лишь ночью. Наши предки говорили: «На Никифора ночь темна — убегает зима» — небо без звезд указывает на раннюю весну. Была традиция на Никифора собирать разные семена, выставлять их на три утренние зари на мороз и откладывать их к посевной. Считалось, что это дает большую устойчивость растениям к температурным перепадам."
53,Пятница,23,февраля,06:27,17:08,-8°,-13°,7.0°, 1999,-27.3°, 1945 ,"  Почти весь день в Харькове была пасмурная погода, лишь к вечеру небо прояснилось. Без осадков.  "," Народный прогноз погоды: В этот день почитается память преподобного Прохора Печерского. В народе святого называли Прохор-Зимоох и говорили: «До Прохора старуха охала: «Ой, студено!» Пришел Прохор да Влас (24 февраля): «Никак скоро весна у нас?», «Прохор — к теплу поворот». В народе приметили, если 23, 24, 25 февраля иней на деревьях, то будет дождь на Мокия Мокрого (24 мая), а это значит, что все лето будет «мокрым»."
54,Суббота,24,февраля,06:25,17:10,-10°,-15°,10.4°, 1990,-30.5°, 1945 ,  На протяжении всего дня погода в Харькове была пасмурной. Без осадков.  ," Народный прогноз погоды: 24 февраля отмечается день памяти святого Власия Севастийского. До Власия были морозы: рождественские, крещенские, афанасьевские, тимофеевские, никольские. Но власьевские морозы считались самыми «крутыми», и последними. В народе говорили: «Прольет Власий маслица на дорогу — зиме пора убирать ноги», потому что в этот день часто бывали оттепели."
55,Воскресенье,25,февраля,06:23,17:11,-10°,-17°,13.6°, 1990,-24.6°, 1945 ,"  Утром в Харькове стояла пасмурная погода, но днем небо прояснилось и осталось ясным до позднего вечера. Утром пошел , но еще в первой половине дня он закончился.  "," Народный прогноз погоды: 25 февраля почитается память святого Алексия, чудотворца. В народе 25 февраля назывался днем Алексея Рыбного, потому что если в этот день наступала оттепель — летом будет хорошо ловиться рыба. С этого дня в течение трех дней выставляли на утренний мороз зерно, предназначенное для посева, говоря, что тронутые морозом семена дают лучший урожай. Если на Алексея небо звездно, можно ждать хлеборода. А солнечный день обещал хороший урожай яблок."
56,Понедельник,26,февраля,06:21,17:13,-9°,-16°,14.6°, 1990,-26.1°, 1945 ,"  На смену пасмурному утру в Харькове пришел ясный день, и облаков на небе не было до позднего вечера. Без осадков.  "," Народный прогноз погоды: 26 февраля отмечается день памяти преподобного Мартиниана, «укротителя страстей». Если в этот день снег таял, то весна обещала быть хорошей, и наоборот, пасмурный день предсказывал холодную и затяжную весну. Если в вечер этого дня луна была красной, то на следующий день ожидали ветра, тепла и снега."
57,Вторник,27,февраля,06:19,17:15,-9°,-16°,13.9°, 1989,-20.0°, 1956 ,"  На протяжении всего дня погода в Харькове была пасмурной. Весь день прошел без осадков, только вечером начался сильный дождь со снегом.  "," Народный прогноз погоды: 27 февраля почитается память святого равноапостольного Кирилла. В старину в этот день повитухи принимали с гостинцами женщин, у которых они принимали роды. В прежние времена заметили, что хорошая погода на Кирилла говорит о том, что вскоре наверняка ударят крепкие морозы."
58,Среда,28,февраля,06:17,17:17,-7°,-11°,9.5°," 1990, 2008",-17.5°, 1956 ,  Облачная погода продержалась в Харькове до самого вечера. Снег прошел ночью и утром. Днем на какое-то время осадки прекратились. Вечером был сильный дождь со снегом.  ," Народный прогноз погоды: В этот день почитается память апостола Онисима. Если в этот день хорошо таял снег, то сенокос обещал быть хорошим. В старину говорили, что 28 февраля зима с весной начинают борьбу: «Кому идти вперед, а кому вспять повернуть». Еще говорили: «Как в феврале аукнется, так осенью откликнется» — по погоде этого дня могли судить о погоде предстоящей осенью."
59,Четверг,01,марта,06:15,17:18,-5°,-11°,8.2°, 1989,-18.5°, 1948 ,"  В Харькове на протяжении всего дня стояла облачная погода. Утром и днем был сильный дождь со снегом, ближе к вечеру ему на смену пришел снег.  "," Народный прогноз погоды: 1 марта отмечается день памяти 12 мучеников: Памфила, Валента и других. В прежние времена заметили: если с первых дней весна ""разгульна, не застенчива - обманет, верить нечего"". Погоду в этот день предсказывали гром и ветер. Если 1 марта при северном ветре прогремит гром, то весна будет холодной, при восточном ветре - весна будет сухой, при западном – мокрой, а при южном – тёплой."
60,Пятница,02,марта,06:13,17:20,-7°,-16°,12.0°, 1995,-21.1°, 1987 ,"  Ясная погода в Харькове держалась почти весь день, а под конец дня изменилась и стала пасмурной. Весь день прошел без осадков, только вечером начался мелкий снег.  "," Народный прогноз погоды: 2 марта почитается память великомученика Федора Тирона и праведной Мариамны. В старину верили, что смотреть вечером на небо в этот день не стоит, ибо увиденная на Федора падающая звезда может означать тяжелую болезнь. Первый раз в году видны кучевые облака, серая ворона, чуя приход тепла, начинает строить гнездо. Люди живут ожиданием тепла, но зима ещё напоминает о себе внезапными морозами. ""Какая погода в этот день такому и лету быть""."
61,Суббота,03,марта,06:11,17:21,0°,-7°,11.4°, 1995,-20.8°, 1987 ,"  С утра и до самого вечера небо в Харькове было скрыто за облаками. Утром шел снег, который во второй половине дня сменился мокрым снегом. Вечером был мелкий снег.  "," Народный прогноз погоды: В этот день почитается память святителя Льва, папы Римского и святителя Агапита, исповедника. В прежние времена говорили: ""Распушилась верба, зиме нет ходу до крестьянского двора"". В этот день почитали птичку-овсянку ""вестницей скорого тепла слыла она"", крестьянки пекли овсянички (пирожки из овсяной муки). Наши предки старались увидеть как можно больше указаний на скорый приход тепла, ожидая весны и возрождения природы."
62,Воскресенье,04,марта,06:09,17:23,0°,-10°,16.2°, 1995,-21.7°, 1987 ,"  На протяжении всего дня небо в Харькове было покрыто облаками. Утром шел мелкий снег, после полудня - дождь со снегом, ближе к вечеру - снег.  "," Народный прогноз погоды: 4 марта отмечается день памяти святителей Архиппа, Филимона и его жены Апфии. В старину этот день назывался Маньяк. Исстари ведется предание, что в этот день не следует смотреть на падающие звезды, так как это худая примета. Если ""на Федота снежный занос – к поздней траве"". Если в этот день в лесу встретить белого зайца – снег обязательно выпадет еще. А если посчастливится увидеть пролетающую чайку, значит лед скоро пойдет. Часто в этот день усиливается ветер."
63,Понедельник,05,марта,06:07,17:25,-4°,-11°,16.0°, 1995,-19.0°, 1963 ,"  В Харькове день был облачным, как и утро, и только вечер порадовал нас ясным небом. Ночью был мелкий снег, но уже к утру он закончился. Больше осадков не наблюдалось.  "," Народный прогноз погоды: 5 марта почитается память святого Льва Катанского. На этот день еще распостраняется традиция не смотреть на падающие звезды. Погода 5 марта достаточно обманчива: может быть как оттепель, так и мороз. В старину заметили: ""если в этот день снег тает, то долго не растает"". Именно 5 марта начинается раннее разрушение устойчивого снежного покрова. Этот день удачен для посева семян на рассаду помидоров, баклажанов, перца."
64,Вторник,06,марта,06:05,17:26,-2°,-14°,17.6°, 1995,-21.2°, 1964 ,"  Днем в Харькове была облачная погода, но к вечеру небо прояснилось. Без осадков.  "," Народный прогноз погоды: В этот день почитается память преподобного Тимофея, пустынника. В народе Тимофея называли Весновеем и говорили: ""Как ни злись метелица, все весной повеивает"", «Дожить до Весновея, а там зима не страшна». Этот день отличался первыми солнечными оттепелями. О погоде судили и по ветрам: если в этот день теплые ветры, то и весна будет теплой. В это время начинается сокодвижение в кленах и березах."
65,Среда,07,марта,06:03,17:28,0°,-7°,18.1°, 2002,-29.2°, 1964 ,"  В Харькове солнце в этот день редко показывалось из-за облаков. Утром шел дождь со снегом, после полудня - сильный дождь, ближе к вечеру - дождь со снегом.  "," Народный прогноз погоды: 7 марта отмечается день памяти преподобного Моисея Белозерского, Маврикия. На Маврикия приходится самый ранний прилет грачей, прилетают первые скворцы, а это сулит раннюю весну. В этот день можно услышать самую раннюю трель полевого жаворонка. В старину заметили, что прохладный день 7 марта указывает на то, что лето скорее всего будет дождливым."
66,Четверг,08,марта,06:01,17:30,0°,-4°,12.1°, 1962,-32.3°, 1964 ,"  Облачная погода продержалась в Харькове до самого вечера. На смену ночному мокрому снегу утром пришел снег. К середине дня он закончился, а вечером начался снова, но с меньшей силой.  ", Народный прогноз погоды: 8 марта почитается память преподобного Поликарпа Брянского. С 8 по 15 марта не исключено возвращение холодов: «Март месяц любит куролесить: морозом гордится и на нос садится». Зима уступает место весне.
67,Пятница,09,марта,05:58,17:31,-1°,-4°,11.3°," 1990, 2008",-23.7°, 1964 ,  В Харькове на протяжении всего дня стояла облачная погода. Без осадков.  ," Народный прогноз погоды: 9 марта отмечается день обретения главы Иоанна Крестителя. Этот день предсказывал погоду на апрель: ""Если день по снегу, то и в апреле по снегу, а если по голу, то и в апреле по голу"". День 9 марта в народе зовут еще Дмитриевым днем. И по этому дню судили о погоде на праздник Пасхи: ""Если Дмитриев день на снегу, то святая (Пасха) по снегу, а Дмитриев по голу, и святая по голу"". Если рога луны яркие и крутые — к морозу."
68,Суббота,10,марта,05:56,17:33,0°,-3°,9.4°," 2002, 2008",-16.0°, 1985 ,"  Весь день в Харькове было облачно. Утром был снег, который после полудня ослабел, а ближе к вечеру ему на смену пришел мелкий дождь.  "," Народный прогноз погоды: В этот день почитается память святителя Тарасия, архиепископа Константинопольского. Погоду в этот день предсказывают птицы: синица запела - тепло ворожит. С этого дня происходит переход средней температуры воздуха через 0 градусов. Это считается временем появления проталин. Набухают почки — весну чуют. С этого дня хорошо садить семена на рассаду капусты и помидоров."
69,Воскресенье,11,марта,05:54,17:35,+1°,-3°,11.2°, 1997,-17.4°, 1987 ,"  На протяжении всего дня небо в Харькове было покрыто облаками. Весь день прошел без осадков, только вечером начался снег.  "," Народный прогноз погоды: 11 марта отмечается день памяти святого Порфирия, епископа Гизского. В прежние времена погоду в этот день определяли по ветру: если ветер подует с юга или с юго-запада, следует ждать скорого потепления."
70,Понедельник,12,марта,05:52,17:36,0°,-4°,13.3°," 2002, 2008",-18.4°, 1972 ,  С утра и до самого вечера небо в Харькове было скрыто за облаками. Без осадков.  ," Народный прогноз погоды: 12 марта почитается память преподобного Прокопия Декаполита, исповедника. В народе этого святого называли еще Перезимником. Говорили, что в этот день ""март дорогу рушит, да вязнет в сугробе"", ""и тает, и мерзнет"". Если в этот день бывал дождь, то ожидали и мокрого лета. А если дул южный ветер, и на улице была капель, то лето обещало быть теплым."
71,Вторник,13,марта,05:50,17:38,-2°,-8°,15.8°, 2002,-14.1°, 1976 ,"  Небо в Харькове днем затянули облака, которые продержались до вечера и уже никуда не исчезли. Без осадков.  "," Народный прогноз погоды: В этот день почитается память преподобного Василия, исповедника. В народе замечено, что этот день всегда бывает теплым, правда может случится и дождь, но это хорошая примета: к богатому урожаю и хорошему лету. Наши предки наблюдали, как тают круги вокруг дерева, по этому судили о весенней погоде: ""круты края, крута и весна будет, пологи — весна будет протяжливой"". 13 марта считается астрономическим рубежом зимы и лета."
72,Среда,14,марта,05:48,17:39,0°,-6°,16.6°, 2002,-16.4°, 1945 ,"  В Харькове облачная погода продержалась весь день. Сильный дождь со снегом, который начался во второй половине дня, к вечеру ослабел.  "," Народный прогноз погоды: 14 марта почитается память первомученицы Евдокии. В старину по Евдокии судили о лете и будущем урожае: «Какова Евдокия, таково и лето»; «Отколе ветер в Евдокию, оттуда и все лето». «Если грачи прилетели до Евдокии - лето будет мокрое, а снег сойдет рано». Если 14 марта идет снег с дождем и дует теплый ветер, значит лето будет мокрое; а мороз и ветер с севера - к лету холодному."
73,Четверг,15,марта,05:46,17:41,+2°,0°,11.4°, 1972,-13.2°, 1959 ,"  Весь день в Харькове было облачно. Ночной мелкий дождь утром усилился, а во второй половине дня его сменил мелкий снег, который только вечером закончился.  "," Народный прогноз погоды: 15 марта почитается память священномученика Феодота Киринейского. С давних времен по этому дню смотрели, каким будет лето. Если дует тёплый ветер, то ждали тёплого дождливого лета. Если снег, мороз, северный ветер, то летом тепла не будет. А если с утра зарядит дождь, то лить будет всё лето. И хотя погода еще может быть достаточно холодной, с этого дня прекращаются устойчивые морозы."
74,Пятница,16,марта,05:43,17:43,+2°,0°,11.0°, 1989,-13.0°, 1959 ,  В Харькове облачная погода продержалась весь день. Днем и вечером был дождь со снегом.  ," Народный прогноз погоды: В этот день почитается память протоиерея Петра Турчанинова. В прежние времена заметили, какова середина марта - таково и лето. У крестьян была традиция обходить крест-накрест поле, обозначая тем, что солнцу недосуг отдыхать, надобно, мол, вести влагу, снежицей поле поить. С этого дня для огородников начинается подготовка картофеля на посадку."
75,Суббота,17,марта,05:41,17:44,+4°,-7°,13.8°, 1990,-15.4°, 1959 ,"  С утра и до самого вечера небо в Харькове было скрыто за облаками. Утренний дождь со снегом днем сменился на мелкий дождь, который продолжал идти до самого конца дня и ближе к вечеру усилился.  "," Народный прогноз погоды: 17 марта отмечается день памяти преподобного Герасима Иорданского. В народе Герасима называют Грачевником, потому что с этого дня с теплых стран прилетают грачи: «Грач на горе - так и весна на дворе». Если грач прилетел, через месяц снег сойдет. Когда грач с земли хворостину поднимает - солнечное лето обещает. Если грачи кричат, значит погода скоро испортится (скорее всего будет дождь)."
76,Воскресенье,18,марта,05:39,17:46,-8°,-11°,12.4°," 1989, 2008",-18.2°, 1963 ,  С утра и до самого вечера небо в Харькове было скрыто за облаками. Без осадков.  , Народный прогноз погоды: 18 марта отмечается день памяти мученика Конона Исаврийского. В народе святого Конона называют Огородником. С этого дня начиналась горячая огородная пора. В народе говорили: «На Конона Градаря начинай копать гряды в огороде».
77,Понедельник,19,марта,05:37,17:47,-8°,-12°,15.2°, 1990,-23.4°, 1963 ,"  В Харькове день был облачным, как и утро, и только вечер порадовал нас ясным небом. Практически все время шел снег, который во второй половине дня ослабел. Ближе к вечеру он прекратился.  "," Народный прогноз погоды: В этот день почитается память преподобного Иова Анзерского. В небе уже можно увидеть белого аиста, который возвращается в свои родные края. Также может возвращаться и трясогузка, хотя для нее еще рановато."
78,Вторник,20,марта,05:35,17:49,-7°,-13°,20.4°, 1990,-21.0°, 1963 ,"  В этот день в Харькове с утра и до самого вечера сохранялась пасмурная погода. Днем и вечером шел снег, который постепенно ослабевал.  "," Народный прогноз погоды: 20 марта отмечается день памяти святого мученика Василия, епископа Херсонского Таврического. Устанавливается уже теплая погода, но холода не спешат отступать: ""С крыш капает, а за нос цапает"", днем весенняя капель, а к вечеру может наступить мороз."
79,Среда,21,марта,05:32,17:50,-4°,-6°,16.5°, 1990,-18.7°, 1963 ,  На протяжении всего дня небо в Харькове было покрыто облаками. С утра и до позднего вечера шел снег.  ," Народный прогноз погоды: 21 марта почитается память преподобных Лазаря и Афанасия Мурманских. Это день весеннего равноденствия. Ночь и день сравнялись по продолжительности. В северном полушарии начинается весна, а в южном - осень. Эта дата считается астрономическим днем рождения весны. Периоды равноденствия отличаются сильными ветрами и бурями. Если в этот день из тёплых краев возвращается жаворонок, то следует ждать тёплую весну. Если облака высоко и плывут по небу быстро, значит погода будет доброй."
80,Четверг,22,марта,05:30,17:52,-1°,-9°,17.1°, 1955,-17.2°, 1963 ,"  Почти весь день в Харькове была пасмурная погода, лишь к вечеру небо прояснилось. Ночью шел снег, который к утру ослаб, а к полудню и вовсе закончился.  "," Народный прогноз погоды: 22 марта отмечается день памяти 40 мучеников, в Севастийском озере мучившихся. Это вторая встреча весны (первая на Масленицу). Если трясогузка прилетела, то река через 12 дней вскроется; прилет жаворонка предвещал тепло; зяблик — стужу."
81,Пятница,23,марта,05:28,17:54,-1°,-13°,18.6°, 1990,-16.0°, 1958 ,"  С самого утра небо в Харькове покрылось облаками, которые продержались до конца дня. Без осадков.  "," Народный прогноз погоды: 23 марта отмечается день памяти мученика Кондрата (Кодрата). В старину была пословица, что в этот день «туман съедает снег», то есть указывает на приход тепла. Туман так же указывал на теплую середину мая, а иней - на дождливый день на Исакия Змеевика (12 июня). Синие облака, бегущие по небу, предсказывали тепло и дождь. А еще 23 марта бывает первая в новом году гроза. Рыбаки в этот день обращали внимание на весенние ручьи: если они бегут в лунку, то будет хорошо ловиться плотва."
82,Суббота,24,марта,05:26,17:55,+2°,-5°,16.7°," 2004, 2008",-17.8°, 1963 ,"  Хмурое утро сменилось в Харькове ясным днем, и безоблачным небо оставалось до глубокого вечера. Без осадков.  "," Народный прогноз погоды: 24 марта почитается память святого Софрония премудрого, патриарха Иерусалимского. Как известно, март - это достаточно холодный месяц, поэтому заморозки и метели для него вполне нормальное явление. В старину заметили, что пушистый иней в этот день предвещает хорошую погоду. ""Если в этот день уходящий март уносит холода, летом будет тепло"". В это время начинается раннее сокодвижение березы."
83,Воскресенье,25,марта,05:24,17:57,+3°,-7°,18.6°," 1990, 2008",-15.5°, 1963 ,"  Днем облака в Харькове появились на небе лишь только для того, чтобы к вечеру бесследно исчезнуть. Без осадков.  "," Народный прогноз погоды: 25 марта почитается память преподобного Феофана, исповедника Сигрианского и Григория, Папы Римского. В народе этот день называют Феофан Проломи Наст, потому что к этому дню активно сходит снежный покров, почва полностью оттаивает. С этого дня уже можно сеять редис. В старину заметили: если 25 марта туман, то будет большой урожай льна и конопли."
84,Понедельник,26,марта,05:22,17:58,+3°,-6°,19.4°, 1983,-7.4°, 1958 ,"  С утра небо в Харькове было ясным, таким оно и оставалось до завершения дня. Без осадков.  "," Народный прогноз погоды: В этот день отмечается перенесение мощей святителя Никифора, патриарха Константинопольского. В прежние времена приметили: если 26 марта будет туман, то все лето будет дождливое. Внимательно наблюдали за прилётом птиц: если первым из перелётных птиц прилетит жаворонок, значит быть теплу, а если зяблик — будет холодная погода."
85,Вторник,27,марта,05:19,18:00,+2°,-2°,22.9°, 1983,-11.4°, 1987 ,"  В Харькове солнце в этот день редко показывалось из-за облаков. На смену утреннему мокрому снегу, пришел дождь, который продолжался всю вторую половину дня, усиливаясь к вечеру.  "," Народный прогноз погоды: 27 марта отмечается день памяти святого Феогноста, митрополита Московского. От наших предков к нам дошло такое наблюдение: тот, кому посчастливится услышать гром в этот день, может быть уверенными в том, что лето будет плодородным. Если весной в реках воды не прибавится, лето обещает быть жарким и сухим."
86,Среда,28,марта,05:17,18:01,+2°,-1°,20.1°, 1983,-12.5°, 1987 ,  В Харькове солнце в этот день редко показывалось из-за облаков. Без осадков.  ," Народный прогноз погоды: 28 марта почитается память мучеников Агапия, Пуплия и других. Погоду этого дня предсказывают вода и птицы. В старину заметили: если весенняя вода течёт медленно, то год ожидается тяжёлый. Если же в этот день прилетают чайки, то можно ждать тепла. У наших предков был такой обычай: если в этот день ночью услышишь собачий вой, следует повернуть подушку, дабы сон был хорошим."
87,Четверг,29,марта,05:15,18:03,0°,-4°,16.5°, 1983,-7.5°, 1987 ,"  В Харькове погода была пасмурной, небо лишь на непродолжительное время избавилось от облаков, но вечером его снова затянуло. Без осадков.  "," Народный прогноз погоды: В церковных святцах под этим днем числятся три мученика: Саввин, Папа и Трофим. В народе говорили: ""На Саввина сани покинь, телегу подвинь"", «Солнца хоть и нет, а вода все одно бежит». А если же 29 марта была теплая, солнечная погода, то и весна вся обещала быть теплой. Хорошо, когда снег тает от Солнца, а не от дождя: «Когда весна красными днями сгоняет снег - родится хлеб»."
