,infoDayweek,infoDate,infoMonth,sunUp,sunDown,tempMax,tempMin,maxTemp,maxYear,minTemp,minYear,dayInfo,dayHistory,city
10,Среда,11,января,08:33,17:06,-2°,-4°,9.4°, 2005,-31.9°, 1950 ,"  Весь день в Полтаве было облачно. Весь день прошел без осадков, только вечером начался дождь со снегом.  "," Народный прогноз погоды: 1 ноября отмечается день памяти святого Садока, епископа Персидского. Издавна первый день ноября считался проводами осени, встречей зимы и отмечался повсюду. Если в этот день будет холодно и пойдет снег, то весна будет поздняя и холодная, а если сегодня случится оттепель — в следующем году весна будет теплой и ранней.",poltava
11,Четверг,12,января,08:32,17:08,0°,-8°,8.2°, 2005,-29.2°, 1950 ,"  На протяжении всего дня погода в Полтаве была пасмурной. Утром пошел сильный дождь со снегом, который закончился еще до середины дня. Больше осадков не было.  "," Народный прогноз погоды: 12 января почитается память святой Анисии. В народе этот день назывался «Анисьи зимние» или «Анисьи Желудочницы». В старину в этот день варили свиные желудки и резали гусей. По внутренностям животных гадали о зиме. Если селезенка была ровной и гладкой, то ожидали зимы суровой. Толстая печень в середине означала, что стужи начнутся с половины зимы, а широкая сторона печени к брюху обещала морозы и перезимья. В народе говорили: «Ко дню Анисьи холода над землей повисли».",poltava
12,Пятница,13,января,08:31,17:09,-2°,-10°,6.3°, 2005,-25.0°, 1972 ,  На протяжении всего дня погода в Полтаве была пасмурной. Без осадков.  ," Народный прогноз погоды: 13 января отмечается день памяти преподобной Мелании Римляныни. В народе называют этот день «Щедрый вечер». Погода каждого последующего дня соответствовала погоде каждого из двенадцати месяцев. Если в ночь ветер дул южный, то год ожидали жаркий и урожайный. Западный ветер предвещал хорошие надои и обилие рыбы, а восточный — обильный урожай фруктов. Если замечали на окнах лёд, то рассчитывали на обилие мёда. С этого времени день прибывает на час.",poltava
13,Суббота,14,января,08:31,17:10,+2°,-5°,5.1°," 1955, 2007",-26.3°, 1950 ,"  В Полтаве солнце в этот день редко показывалось из-за облаков. Утро и день прошли без осадков, только ближе к вечеру начался дождь.  "," Народный прогноз погоды: 14 января почитается память святителя Василия Великого, архиепископа Кесарии Каппадокийской. Если на Василия с утра туман, то будет хороший урожай летом и осенью. Если будет много звезд на небе — будет много ягод летом. В прежние времена говорили: «Коли Васильев день в году веселый, то и год таков», «Старый год — к весне поворот». Если на Василия тепло и снег — лето будет теплым и дождливым.",poltava
14,Воскресенье,15,января,08:30,17:12,+1°,-4°,4.7°," 1981, 2007",-25.0°, 1954 ,"  В Полтаве облачная погода продержалась весь день. Ночью был дождь, утром - сильный дождь со снегом, который после полудня сменился снегом. Только ближе к вечеру осадки прекратились.  "," Народный прогноз погоды: 15 января почитается память святителя Сильвестра Римского, преподобных Сильвестра Печерского и Серафима Саровского. В прежние времена в этот день был Куриный праздник. 15 января чистили курятники и окуривали их смолою с девясилом. Синие вечерние облака в этот день предвещали перемену погоды. Наблюдали также за месяцем: если его рога остры и ярки, следует ожидать ветра. В народе говорили: «Январь гонит вьюгу за семь верст» — этот месяц хоть и холодный, но относительно спокойный.",poltava
15,Понедельник,16,января,08:29,17:13,-1°,-8°,4.7°, 1983,-24.5°, 1972 ,"  Хмурое утро сменилось в Полтаве ясным днем, и безоблачным небо оставалось до глубокого вечера. Без осадков.  "," Народный прогноз погоды: В этот день почитается память святого пророка Малахии. По народному поверью, только в этот день можно образумить одержимого меланхолией человека. И если сейчас меланхоличность считается чертой характера, то в прежние времена это считалось душевной болезнью. Если в этот день на небе появлялось белое большое облако, это предвещало вьюгу и метель. Погода на Малахию указывает, какой будет погода в марте.",poltava
16,Вторник,17,января,08:28,17:15,-7°,-11°,5.7°, 1955,-23.2°, 1976 ,  Весь день в Полтаве было облачно. Без осадков.  ," Народный прогноз погоды: 17 января почитается память преподобного Феоктиста, Зосимы Пустынника, который жил в IV веке. В народе Зосима считается покровителем пчел. О пчелах толкует и примета этого дня: если в этот день «снег на деревьях сучья гнет — летом пчелы роиться будут». А если на небе нет облаков при сильном морозе, то морозная погода будет стоять и дальше и не скоро отступит.",poltava
17,Среда,18,января,08:27,17:16,-5°,-10°,6.6°, 1965,-24.1°, 1972 ,  На протяжении всего дня небо в Полтаве было покрыто облаками. Без осадков.  ," Народный прогноз погоды: 18 января отмечается Крещенский сочельник, канун Богоявления. В этот день соблюдается строгий пост, поэтому канун Богоявления называют еще Голодной кутёй. Если в этот день метель, снег и позёмка — быть хорошему урожаю. Если звездная ночь на Крещение — будет урожай ягод, гороха и хлеба. Сильные южные ветры 18 января предвещают грозное лето, а метель на Крещение приносит метель и на Масленицу. Полный месяц в этот день обещает большой разлив рек весной.",poltava
18,Четверг,19,января,08:26,17:18,-6°,-12°,4.3°," 1993, 2007",-26.0°, 1950 ,"  В Полтаве все время стояла облачная погода, днем облака ненадолго рассеялись, но вечером снова собрались. Без осадков.  "," Народный прогноз погоды: 19 января отмечается праздник Крещения Господня или Богоявления. По погоде этого дня во многом судили о погоде на лето. Если в этот день холодная, ясная погода — лето засушливым будет. Пасмурная и снежная погода указывала на обильный урожай. В старину говорили: «День тёплый — хлеб тёмный (густой)», значит следовало ожидать хорошего урожая хлебов. Также на хороший урожай указывали синие облака и снег хлопьями.",poltava
19,Пятница,20,января,08:25,17:19,-4°,-10°,6.4°, 1948,-27.2°, 1950 ,  В Полтаве облачная погода продержалась весь день. Вечером был сильный дождь со снегом.  ," Народный прогноз погоды: 20 января отмечается Собор Предтечи и Крестителя Господня Иоанна. Этот день является концом святок: «Иван Креститель праздники увел». Если в этот день стояла ясная и холодная погода, то лето ожидалось засушливое, а пасмурная и снежная погода намекала на обильный урожай. К 20-му января заканчивались Крещенские морозы, и хотя впереди еще была почти половина зимы, люди уже жили в ожидании тепла: «Трещи, мороз не трещи — минули Водохрещи: дуй, вьюга, не дуй — к Великодню пошло».",poltava
20,Суббота,21,января,08:24,17:21,0°,-4°,6.9°, 2005,-25.0°," 1973, 2006 ","  На протяжении всего дня погода в Полтаве была пасмурной. Ночью пошел снег, который утром ослабел. Днем на какое-то время осадки прекратились, а вечером снег начались снова.  "," Народный прогноз погоды: 21 января почитается память Емилиана, исповедника. Раньше метели и бураны в этот день были обычным явлением, о чём говорит и пословица: «Емельян, накрути буран». Следили в этот день в основном за ветром: если на Емельяна подует с юга — лето будет грозным, а если день выдастся ясным, то следует ожидать засушливого лета.",poltava
21,Воскресенье,22,января,08:23,17:23,-3°,-8°,9.6°, 1948,-24.7°," 1973, 2006 ","  В Полтаве днем на небе появились облака, которые к вечеру рассеялись. Без осадков.  "," Народный прогноз погоды: В этот день почитается память святого Полиевкта. В народе про этот период января говорили так: «Растет день в январе — растет и холод», что указывало на приближение месяца февраля, который считался самым холодным месяцем зимы. Наблюдали наши предки в этот день за домашним скотом: если домашний скот, выпущенный во двор, будет стремиться вернуться в хлев — быть вскоре снегу и холоду.",poltava
22,Понедельник,23,января,08:22,17:24,-1°,-5°,6.8°, 1948,-29.0°, 1963 ,"  День в Полтаве был облачным, но вечером погода прояснилась. Без осадков.  "," Народный прогноз погоды: 23 января почитается память святителя Григория, епископа Нисского. В народе этого святого называли Летоуказателем, потому как природные явления этого дня указывали на погоду будущим летом. Если в этот день будет иней на деревьях и стогах, то лето будет мокрое и холодное. Если ветер дует с юга — лето будет грозное. Если наши предки в этот день наблюдали иней, то верили, что 15—16 июля будет дождь.",poltava
23,Вторник,24,января,08:21,17:26,-3°,-6°,7.9°," 1971, 2007",-28.6°, 1963 ,"  С утра и до самого вечера небо в Полтаве было скрыто за облаками. Днем шел мелкий дождь, вечером - сильный дождь со снегом.  "," Народный прогноз погоды: 24 января отмечается день памяти преподобного Феодосия Великого. В народе этот день назывался «Федосеево тепло». Как правило, в этот день на самом деле была теплая погода, но люди опасались такого тепла и говорили: «Бойся январской весны», хотя теплая погода в этот день предвещала раннюю и тёплую весну. Если на Феодосия была оттепель, то готовились к затяжной весне.",poltava
24,Среда,25,января,08:20,17:27,-1°,-8°,5.7°," 1986, 2007",-24.4°, 1954 ,  В Полтаве облачная погода продержалась весь день. Ночной сильный дождь со снегом утром ослабел и затих лишь к середине дня. Вечером пошел снег.  ," Народный прогноз погоды: 25 января почитается память святой Татианы. В народе этот день называли «Татьяна Крещенская», «Бабий кут». Если в этот день шел снег, то лето ожидали дождливое, если было морозно, ясно — лето обещало быть теплым, а год — плодородным: «Если снегопад — летом дождик част». А вот теплая метель на Татьяну и «гнилой ветер» (южный) были нежеланными явлениями в этот день, поскольку указывали на неурожай и засуху.",poltava
25,Четверг,26,января,08:19,17:29,-8°,-16°,5.6°, 1986,-25.0°, 1988 ,  Облачная погода продержалась в Полтаве до самого вечера. Без осадков.  ," Народный прогноз погоды: В этот день почитается память преподобного Иринарха, затворника. Судили о погоде этого дня по месяцу: если около него был туманный круг, ожидали метели. Наши предки прислушивались к лесу и наблюдали за животными, чтобы узнать предстоящую погоду. Если в этот день лес трещит — мороз будет стоять долго, если лес шумит, вскоре будут снег и оттепель. Если на Иринарха кошка мордочку прячет — быть морозу; собака лежит, свернувшись — к холоду, вытянувшись — к теплу.",poltava
26,Пятница,27,января,08:18,17:31,-7°,-13°,7.8°, 2002,-26.9°, 1954 ,  В Полтаве солнце в этот день редко показывалось из-за облаков. Ночью и утром шел снег.  ," Народный прогноз погоды: 27 января отмечается память преподобных Исаии, Саввы, Моисея. В старину заметили, если в ночь на 27 января на небе много звёзд, то вскоре будет тепло и снежно; если же звёзд немного, то будет ненастье и вьюга. Белые облака в этот день обещали мороз. Если поутру ворона раскаркалась, то следует ждать метель. А если петухи спозаранку закричали в морозный день, то холод скоро отступит.",poltava
27,Суббота,28,января,08:16,17:32,-4°,-7°,7.2°, 1983,-26.4°, 1954 ,  В Полтаве на протяжении всего дня стояла облачная погода. Утром и вечером был сильный дождь со снегом. Середина дня прошла без осадков.  ," Народный прогноз погоды: 28 января почитается память преподобного Павла Фивейского и Иоанна Кущника. В прежние времена была такая поговорка: «Пётр-Павел дня прибавил», что указывало на увеличение световой части дня. В старину, чтобы узнать погоду, наблюдали за небом. Если звёзды сильно блестят, то быть морозу, а если они тусклые, то будет тепло. Если с севера приходили тучи, то оттепели не ждали. Снежный буран днем на Павла предвещал крепкий мороз ночью.",poltava
28,Воскресенье,29,января,08:15,17:34,-3°,-17°,6.7°, 2002,-23.5°, 1980 ,"  Облака, которые покрывали в Полтаве небо утром, после полудня исчезли и до конца дня уже не появлялись. Без осадков.  "," Народный прогноз погоды: 29 января отмечается день поклонения честным цепям апостола Петра. В народе этот день называли Пётр-полукорм, поскольку до этого времени у крестьян выходила половина зимнего корма для скота. По этому поводу народ приметил: «Если в амбарах ржаного хлеба осталось больше половины, быть хорошему урожаю». Погоду в этот день предсказывал ветер: если он дул с северной стороны, ожидали сильного мороза.",poltava
29,Понедельник,30,января,08:14,17:36,-13°,-21°,7.4°, 1979,-26.1°, 1954 ,"  Весь день небо в Полтаве было ясным, и тучи не омрачили его своим присутствием. Без осадков.  "," Народный прогноз погоды: В этот день почитается память преподобного Антония Великого. В прежние времена этот день называли Антон Перезимний — именно 30 января считалось серединой зимы. В этот день часто случались оттепели, а следом за ними наступали сильные морозы. Отсюда и примета, что зимнему теплу верить нельзя: «Перезимник обнадежит, обтеплит, а потом обманет — все морозом стянет». Если на Антония небо заволакивалось тучами, ожидали метели.",poltava
30,Вторник,31,января,08:12,17:37,-9°,-21°,6.4°, 1979,-30.9°, 1954 ,"  Небо в Полтаве днем затянули облака, которые продержались до вечера и уже никуда не исчезли. Без осадков.  ", Народный прогноз погоды: В этот день почитается память преподобного Илариона Великого. В народе говорили: «В ноябре мороз приосанивается». Наши предки приметили: если 3 ноября стоит ясная безоблачная погода — это признак скорого быстрого понижения температуры.,poltava
31,Среда,1,февраля,08:11,17:39,-6°,-13°,5.3°, 2002,-27.7°, 1956 ,"  На протяжении всего дня погода в Полтаве была пасмурной. Утром пошел снег, но еще в первой половине дня он закончился.  "," Народный прогноз погоды: 1 февраля отмечается день памяти преподобного Макария Великого. Если на Макария погода стояла ясная или случалась капель, то ожидали раннюю весну: «Коли капель — в весну раннюю верь». А вот если вечером на небе было много звезд, то зима еще долго обещала продержаться. Если на Макария кружила метель, то верили, что еще долго будет метельная погода. Этот день называли еще Громницей, так как это единственный день зимой, когда может приключиться гроза.",poltava
32,Четверг,2,февраля,08:09,17:41,-5°,-8°,3.3°, 1983,-28.8°, 1954 ,"  В Полтаве облачная погода продержалась весь день. С утра шел сильный дождь со снегом, который закончился только ближе к вечеру.  "," Народный прогноз погоды: 2 февраля почитается память преподобного Евфимия Великого. В народе этот день называли «Ефимкины метели». По метелям наши предки предсказывали погоду на ближайшее будущее. Если 2 февраля метет метель, то вся Масленая неделя будет метельной. Если этот день выдавался пасмурным, то стоило ждать поздних метелей. А если на Ефимия в полдень было солнце, то весну ожидали раннюю.",poltava
33,Пятница,3,февраля,08:08,17:42,-2°,-5°,9.8°, 2002,-28.7°, 1967 ,"  На протяжении всего дня небо в Полтаве было покрыто облаками. Мелкий снег шел все время. Днем он усилился, а к вечеру ослабел.  "," Народный прогноз погоды: В этот день почитается память преподобного Максима Исповедника и Максима Грека. В старину была такая поговорка: «Если месяц заскользил, в тучу белый рог вонзил — будет доброе жито да мука в сито» - молодой месяц в облаках указывал на хороший урожай. А вот ясное небо предвещало недород. Ярко-красный закат 3 февраля указывал на морозный ясный завтрашний день; а ясная погода — на раннюю весну. Если днем солнце светит ярко, то летом на фруктовых деревьях плоды червивы будут, а если оно за облака прячется, плоды будут чисты и здоровы.",poltava
34,Суббота,4,февраля,08:06,17:44,+1°,-2°,11.8°, 2002,-27.5°, 1956 ,"  Весь день в Полтаве было облачно. Ночью пошел мелкий дождь, но ближе к утру он закончился. До завершения дня осадков больше не наблюдалось.  "," Народный прогноз погоды: 4 февраля отмечается день памяти апостола Тимофея. В прежние времена этот день был оплотом метелей, вьюг и морозов: «Это не диво, что Афанасий-ломонос (31 января) морозил нос, а ты подожди тимофеевских морозов». Именно мороз определял предстоящую погоду. Если в мороз вспотели оконницы и рамы, надо ждать потепления. Если «снежные узоры» поднимаются вверх по стеклу, значит морозу продолжаться, а если наклонились — к оттепели. Если в полдень на Тимофея светит солнышко — весна идет ранняя.",poltava
35,Воскресенье,5,февраля,08:05,17:46,-3°,-4°,8.0°, 2002,-26.0°, 1956 ,"  Облачная погода продержалась в Полтаве до самого вечера. Ночью и утром осадков не наблюдалось. Днем пошел снег, который ближе к вечеру закончился.  "," Народный прогноз погоды: 5 февраля почитается память святого Агафангела. В прежние времена погоду в этот день предсказывали белки и птицы. Если во время мороза она покидает гнездо и спускается с дерева, это означает, что следует ждать оттепели. Если утром наши предки отчетливо слышали крик синицы, то они готовились к серьезным морозам.",poltava
36,Понедельник,6,февраля,08:03,17:47,-6°,-10°,6.5°, 1981,-24.7°," 1950, 2006 ",  В Полтаве облачная погода продержалась весь день. Всю вторую половину дня шел снег.  ," Народный прогноз погоды: В этот день почитается память преподобной Ксении. Этот день считали переломом зимы, и по нему судили о предстоящей весне: «Какова Аксинья — такова весна». «Если на Аксинью вёдро (хорошая погода) — весна будет красная (хорошая)». Наши предки говорили: «На полузимницу дорогу переметает — корм подметает». Это означало, что зима задержится, и домашние животные съедят все заготовленные для них запасы.",poltava
37,Вторник,7,февраля,08:02,17:49,-10°,-15°,6.6°, 2004,-25.7°, 1976 ,  В Полтаве облачная погода продержалась весь день. Без осадков.  ," Народный прогноз погоды: 7 февраля отмечается день памяти святителя Григория Богослова. В прежние времена по этому дню судили о будущей зиме. Каким этот день будет с утра до полудня, такой будет и первая половина следующей зимы, а погода с полудня до вечера указывает на вторую половину зимы. Густой туман предвещал мор скота, а ясная погода говорила о том, что будет хороший год.",poltava
38,Среда,8,февраля,08:00,17:51,-13°,-19°,7.0°, 2002,-26.6°, 1976 ,"  В Полтаве день был облачным, как и утро, и только вечер порадовал нас ясным небом. Без осадков.  "," Народный прогноз погоды: 8 февраля почитается память преподобного Ксенофонта и супруги его Марии. В прежние времена предсказывать погоду нашим предкам помогали мыши: если на Ксенофонта они вылазят из-под снега, следует ждать оттепели. В старину в этот день опасались метели, поскольку она указывала на плохой урожай в будущем году: «Метель на дома — будут плохи корма».",poltava
39,Четверг,9,февраля,07:58,17:53,-9°,-19°,5.3°, 2002,-28.3°, 1954 ,"  В Полтаве весь день держалась ясная погода, а вечером на небе появились облака, которые продержались допоздна. Без осадков.  "," Народный прогноз погоды: 9 февраля отмечается перенесение мощей святителя Иоанна Златоуста из г. Коман в г. Константинополь. Несмотря на то, что этот месяц считается самым холодным, в этот день случались оттепели. Но были они непродолжительными. Поэтому в народе говорили: «Февральская оттепель ничего не стоит». В этот день наши предки наблюдали за облаками: если облака идут против ветра — к снегу. На снегопад также указывал дым из трубы: если он стелился по земле без ветра, следовало ожидать снега.",poltava
40,Пятница,10,февраля,07:57,17:54,-7°,-15°,8.6°, 2002,-28.7°, 1985 ,  Облачная погода продержалась в Полтаве до самого вечера. Утром был мелкий снег. День и вечер прошли без осадков.  ," Народный прогноз погоды: В этот день почитается память преподобного Ефрема Сирина. В народе этот день называли Ефрем Ветродуй. Люди боялись ветра 10 февраля, поскольку он предвещал сырое, холодное лето. Поэтому и говорили: «Не к добру летнему Ефремов ветер». Еще до нас дошли наблюдения за снегом: если выпавший ночью снег останется на ветках деревьев, то и на земле не растает.",poltava
