,infoDayweek,infoDate,infoMonth,sunUp,sunDown,tempMax,tempMin,maxTemp,maxYear,minTemp,minYear,dayInfo,dayHistory
10,Среда,11,января,08:37,17:00,-3°,-7°,7.3°," 2005, 2007",-31.8°, 1950 ,  В Сумах облачная погода продержалась весь день. Без осадков.  ," Народный прогноз погоды: 1 ноября отмечается день памяти святого Садока, епископа Персидского. Издавна первый день ноября считался проводами осени, встречей зимы и отмечался повсюду. Если в этот день будет холодно и пойдет снег, то весна будет поздняя и холодная, а если сегодня случится оттепель — в следующем году весна будет теплой и ранней."
11,Четверг,12,января,08:36,17:01,-1°,-6°,6.2°, 2005,-26.1°, 1960 ,   ," Народный прогноз погоды: 12 января почитается память святой Анисии. В народе этот день назывался «Анисьи зимние» или «Анисьи Желудочницы». В старину в этот день варили свиные желудки и резали гусей. По внутренностям животных гадали о зиме. Если селезенка была ровной и гладкой, то ожидали зимы суровой. Толстая печень в середине означала, что стужи начнутся с половины зимы, а широкая сторона печени к брюху обещала морозы и перезимья. В народе говорили: «Ко дню Анисьи холода над землей повисли»."
12,Пятница,13,января,08:36,17:03,-5°,-9°,5.7°, 2005,-26.5°, 1950 ,"  Весь день в Сумах было облачно. Ночью был снег, но уже к утру он закончился. Больше осадков не наблюдалось.  "," Народный прогноз погоды: 13 января отмечается день памяти преподобной Мелании Римляныни. В народе называют этот день «Щедрый вечер». Погода каждого последующего дня соответствовала погоде каждого из двенадцати месяцев. Если в ночь ветер дул южный, то год ожидали жаркий и урожайный. Западный ветер предвещал хорошие надои и обилие рыбы, а восточный — обильный урожай фруктов. Если замечали на окнах лёд, то рассчитывали на обилие мёда. С этого времени день прибывает на час."
13,Суббота,14,января,08:35,17:04,+2°,-6°,4.1°," 2005, 2007",-26.5°, 1950 ,"  В Сумах на протяжении всего дня стояла облачная погода. Весь день прошел без осадков, только вечером начался дождь.  "," Народный прогноз погоды: 14 января почитается память святителя Василия Великого, архиепископа Кесарии Каппадокийской. Если на Василия с утра туман, то будет хороший урожай летом и осенью. Если будет много звезд на небе — будет много ягод летом. В прежние времена говорили: «Коли Васильев день в году веселый, то и год таков», «Старый год — к весне поворот». Если на Василия тепло и снег — лето будет теплым и дождливым."
14,Воскресенье,15,января,08:34,17:06,+1°,-1°,3.5°," 1993, 2007",-25.8°, 1968 ,"  В Сумах солнце в этот день редко показывалось из-за облаков. Мелкий снег шел почти весь день. Утром он усилился, но к вечеру постепенно затих.  "," Народный прогноз погоды: 15 января почитается память святителя Сильвестра Римского, преподобных Сильвестра Печерского и Серафима Саровского. В прежние времена в этот день был Куриный праздник. 15 января чистили курятники и окуривали их смолою с девясилом. Синие вечерние облака в этот день предвещали перемену погоды. Наблюдали также за месяцем: если его рога остры и ярки, следует ожидать ветра. В народе говорили: «Январь гонит вьюгу за семь верст» — этот месяц хоть и холодный, но относительно спокойный."
15,Понедельник,16,января,08:33,17:07,-1°,-12°,3.4°," 1989, 2007",-25.7°, 1968 ,"  Почти весь день в Сумах была пасмурная погода, лишь к вечеру небо прояснилось. Без осадков.  "," Народный прогноз погоды: В этот день почитается память святого пророка Малахии. По народному поверью, только в этот день можно образумить одержимого меланхолией человека. И если сейчас меланхоличность считается чертой характера, то в прежние времена это считалось душевной болезнью. Если в этот день на небе появлялось белое большое облако, это предвещало вьюгу и метель. Погода на Малахию указывает, какой будет погода в марте."
16,Вторник,17,января,08:32,17:09,-6°,-14°,4.4°," 1993, 2007",-25.9°, 1976 ,"  Облака в Сумах уже с утра заняли свое место под солнцем, и пасмурная погода держалась до самого вечера. Без осадков.  "," Народный прогноз погоды: 17 января почитается память преподобного Феоктиста, Зосимы Пустынника, который жил в IV веке. В народе Зосима считается покровителем пчел. О пчелах толкует и примета этого дня: если в этот день «снег на деревьях сучья гнет — летом пчелы роиться будут». А если на небе нет облаков при сильном морозе, то морозная погода будет стоять и дальше и не скоро отступит."
17,Среда,18,января,08:31,17:10,-5°,-10°,3.9°," 1990, 2007",-27.3°, 1950 ,  Облачная погода продержалась в Сумах до самого вечера. Без осадков.  ," Народный прогноз погоды: 18 января отмечается Крещенский сочельник, канун Богоявления. В этот день соблюдается строгий пост, поэтому канун Богоявления называют еще Голодной кутёй. Если в этот день метель, снег и позёмка — быть хорошему урожаю. Если звездная ночь на Крещение — будет урожай ягод, гороха и хлеба. Сильные южные ветры 18 января предвещают грозное лето, а метель на Крещение приносит метель и на Масленицу. Полный месяц в этот день обещает большой разлив рек весной."
18,Четверг,19,января,08:30,17:12,-7°,-12°,4.5°," 1955, 2007",-26.9°, 1950 ,"  В Сумах солнце в этот день редко показывалось из-за облаков. Мелкий снег начался с самого утра, но ближе к вечеру он прекратился.  "," Народный прогноз погоды: 19 января отмечается праздник Крещения Господня или Богоявления. По погоде этого дня во многом судили о погоде на лето. Если в этот день холодная, ясная погода — лето засушливым будет. Пасмурная и снежная погода указывала на обильный урожай. В старину говорили: «День тёплый — хлеб тёмный (густой)», значит следовало ожидать хорошего урожая хлебов. Также на хороший урожай указывали синие облака и снег хлопьями."
19,Пятница,20,января,08:29,17:14,-4°,-8°,3.0°, 1990,-28.0°, 1968 ,   ," Народный прогноз погоды: 20 января отмечается Собор Предтечи и Крестителя Господня Иоанна. Этот день является концом святок: «Иван Креститель праздники увел». Если в этот день стояла ясная и холодная погода, то лето ожидалось засушливое, а пасмурная и снежная погода намекала на обильный урожай. К 20-му января заканчивались Крещенские морозы, и хотя впереди еще была почти половина зимы, люди уже жили в ожидании тепла: «Трещи, мороз не трещи — минули Водохрещи: дуй, вьюга, не дуй — к Великодню пошло»."
20,Суббота,21,января,08:28,17:15,+1°,-4°,5.0°, 2005,-27.8°, 1973 ,"  В Сумах на протяжении всего дня стояла облачная погода. После полудня снегу, который начался утром, пришел на смену дождь со снегом и продолжался до завершения дня.  "," Народный прогноз погоды: 2 ноября почитается память святого Артемия. Главными предсказателями погоды в этот день были опадающие листья. Если первый снег лег на сухую землю до того, как деревья полностью сбросили листья, то снег скоро сойдет; пока лист с вишневых деревьев не опадет, сколько бы снегу ни выпало, зима не наступит."
21,Воскресенье,22,января,08:27,17:17,-3°,-10°,4.4°," 1993, 2007, 2008",-31.1°, 1963 ,"  С самого утра небо в Сумах покрылось облаками, которые продержались до конца дня. Вечером был снег.  "," Народный прогноз погоды: В этот день почитается память святого Полиевкта. В народе про этот период января говорили так: «Растет день в январе — растет и холод», что указывало на приближение месяца февраля, который считался самым холодным месяцем зимы. Наблюдали наши предки в этот день за домашним скотом: если домашний скот, выпущенный во двор, будет стремиться вернуться в хлев — быть вскоре снегу и холоду."
22,Понедельник,23,января,08:26,17:19,-2°,-5°,5.4°, 1993,-28.9°, 1963 ,"  Несмотря на то, что в Сумах на протяжении дня погода была пасмурной, вечером все же произошло прояснение. Без осадков.  "," Народный прогноз погоды: 23 января почитается память святителя Григория, епископа Нисского. В народе этого святого называли Летоуказателем, потому как природные явления этого дня указывали на погоду будущим летом. Если в этот день будет иней на деревьях и стогах, то лето будет мокрое и холодное. Если ветер дует с юга — лето будет грозное. Если наши предки в этот день наблюдали иней, то верили, что 15—16 июля будет дождь."
23,Вторник,24,января,08:25,17:20,-3°,-7°,7.5°, 1971,-30.8°, 1963 ,"  С утра и до самого вечера небо в Сумах было скрыто за облаками. Практически все время шел мелкий снег, который во второй половине дня усилился. Только ближе к вечеру он закончился.  "," Народный прогноз погоды: 24 января отмечается день памяти преподобного Феодосия Великого. В народе этот день назывался «Федосеево тепло». Как правило, в этот день на самом деле была теплая погода, но люди опасались такого тепла и говорили: «Бойся январской весны», хотя теплая погода в этот день предвещала раннюю и тёплую весну. Если на Феодосия была оттепель, то готовились к затяжной весне."
24,Среда,25,января,08:23,17:22,-1°,-9°,3.6°," 1971, 1993, 2007",-26.7°, 1987 ,"  В Сумах на протяжении всего дня стояла облачная погода. Сильный дождь со снегом, который днем пришел на смену снегу, продолжал идти до позднего вечера.  "," Народный прогноз погоды: 25 января почитается память святой Татианы. В народе этот день называли «Татьяна Крещенская», «Бабий кут». Если в этот день шел снег, то лето ожидали дождливое, если было морозно, ясно — лето обещало быть теплым, а год — плодородным: «Если снегопад — летом дождик част». А вот теплая метель на Татьяну и «гнилой ветер» (южный) были нежеланными явлениями в этот день, поскольку указывали на неурожай и засуху."
25,Четверг,26,января,08:22,17:24,-10°,-16°,2.9°, 1990,-26.4°, 1988 ,"  К вечеру в Сумах небо, остававшееся ясным почти все время, затянулось облаками. Ночью был снег, но уже к утру он закончился. Больше осадков не наблюдалось.  "," Народный прогноз погоды: В этот день почитается память преподобного Иринарха, затворника. Судили о погоде этого дня по месяцу: если около него был туманный круг, ожидали метели. Наши предки прислушивались к лесу и наблюдали за животными, чтобы узнать предстоящую погоду. Если в этот день лес трещит — мороз будет стоять долго, если лес шумит, вскоре будут снег и оттепель. Если на Иринарха кошка мордочку прячет — быть морозу; собака лежит, свернувшись — к холоду, вытянувшись — к теплу."
26,Пятница,27,января,08:21,17:25,-6°,-13°,3.0°, 1979,-30.5°, 1954 ,"  Весь день в Сумах было облачно. Снег начался во второй половине дня, но прекратился еще до наступления вечера.  "," Народный прогноз погоды: 27 января отмечается память преподобных Исаии, Саввы, Моисея. В старину заметили, если в ночь на 27 января на небе много звёзд, то вскоре будет тепло и снежно; если же звёзд немного, то будет ненастье и вьюга. Белые облака в этот день обещали мороз. Если поутру ворона раскаркалась, то следует ждать метель. А если петухи спозаранку закричали в морозный день, то холод скоро отступит."
27,Суббота,28,января,08:19,17:27,-3°,-5°,4.8°, 1983,-28.7°, 1954 ,  Весь день в Сумах было облачно. Без осадков.  ," Народный прогноз погоды: 28 января почитается память преподобного Павла Фивейского и Иоанна Кущника. В прежние времена была такая поговорка: «Пётр-Павел дня прибавил», что указывало на увеличение световой части дня. В старину, чтобы узнать погоду, наблюдали за небом. Если звёзды сильно блестят, то быть морозу, а если они тусклые, то будет тепло. Если с севера приходили тучи, то оттепели не ждали. Снежный буран днем на Павла предвещал крепкий мороз ночью."
28,Среда,01,февраля,08:14,17:34,-7°,-14°,3.8°, 2002,-31.7°, 1956 ,"  В Сумах облачная погода продержалась весь день. Утром пошел сильный дождь со снегом, который закончился еще до середины дня. Больше осадков не было.  "," Народный прогноз погоды: 1 февраля отмечается день памяти преподобного Макария Великого. Если на Макария погода стояла ясная или случалась капель, то ожидали раннюю весну: «Коли капель — в весну раннюю верь». А вот если вечером на небе было много звезд, то зима еще долго обещала продержаться. Если на Макария кружила метель, то верили, что еще долго будет метельная погода. Этот день называли еще Громницей, так как это единственный день зимой, когда может приключиться гроза."
29,Четверг,02,февраля,08:12,17:36,-4°,-7°,2.6°, 1983,-30.0°, 1967 ,"  Облачная погода продержалась в Сумах до самого вечера. Утром начался мелкий снег, который к середине дня прекратился. Вечером он пошел снова.  "," Народный прогноз погоды: 2 февраля почитается память преподобного Евфимия Великого. В народе этот день называли «Ефимкины метели». По метелям наши предки предсказывали погоду на ближайшее будущее. Если 2 февраля метет метель, то вся Масленая неделя будет метельной. Если этот день выдавался пасмурным, то стоило ждать поздних метелей. А если на Ефимия в полдень было солнце, то весну ожидали раннюю."
30,Пятница,03,февраля,08:11,17:38,-5°,-6°,7.3°, 2002,-31.6°, 1956 ,"  На протяжении всего дня небо в Сумах было покрыто облаками. Утренний дождь со снегом днем сменился на снег, который ближе к вечеру ослабел.  "," Народный прогноз погоды: В этот день почитается память преподобного Максима Исповедника и Максима Грека. В старину была такая поговорка: «Если месяц заскользил, в тучу белый рог вонзил — будет доброе жито да мука в сито» - молодой месяц в облаках указывал на хороший урожай. А вот ясное небо предвещало недород. Ярко-красный закат 3 февраля указывал на морозный ясный завтрашний день; а ясная погода — на раннюю весну. Если днем солнце светит ярко, то летом на фруктовых деревьях плоды червивы будут, а если оно за облака прячется, плоды будут чисты и здоровы."
31,Среда,01,февраля,08:14,17:34,-7°,-14°,3.8°, 2002,-31.7°, 1956 ,  С утра и до самого вечера небо в Сумах было скрыто за облаками. Утром пошел сильный дождь со снегом и закончился в середине дня. Больше осадков не наблюдалось.  ," Народный прогноз погоды: 1 февраля отмечается день памяти преподобного Макария Великого. Если на Макария погода стояла ясная или случалась капель, то ожидали раннюю весну: «Коли капель — в весну раннюю верь». А вот если вечером на небе было много звезд, то зима еще долго обещала продержаться. Если на Макария кружила метель, то верили, что еще долго будет метельная погода. Этот день называли еще Громницей, так как это единственный день зимой, когда может приключиться гроза."
32,Четверг,02,февраля,08:12,17:36,-4°,-7°,2.6°, 1983,-30.0°, 1967 ,"  В Сумах солнце в этот день редко показывалось из-за облаков. Утром начался мелкий снег, который к середине дня прекратился. Вечером он пошел снова.  "," Народный прогноз погоды: 2 февраля почитается память преподобного Евфимия Великого. В народе этот день называли «Ефимкины метели». По метелям наши предки предсказывали погоду на ближайшее будущее. Если 2 февраля метет метель, то вся Масленая неделя будет метельной. Если этот день выдавался пасмурным, то стоило ждать поздних метелей. А если на Ефимия в полдень было солнце, то весну ожидали раннюю."
33,Пятница,03,февраля,08:11,17:38,-5°,-6°,7.3°, 2002,-31.6°, 1956 ,"  В Сумах облачная погода продержалась весь день. Утром шел дождь со снегом, днем - снег, который на протяжении оставшейся половины дня постепенно ослабел.  "," Народный прогноз погоды: В этот день почитается память преподобного Максима Исповедника и Максима Грека. В старину была такая поговорка: «Если месяц заскользил, в тучу белый рог вонзил — будет доброе жито да мука в сито» - молодой месяц в облаках указывал на хороший урожай. А вот ясное небо предвещало недород. Ярко-красный закат 3 февраля указывал на морозный ясный завтрашний день; а ясная погода — на раннюю весну. Если днем солнце светит ярко, то летом на фруктовых деревьях плоды червивы будут, а если оно за облака прячется, плоды будут чисты и здоровы."
34,Суббота,04,февраля,08:09,17:39,+1°,-3°,10.8°, 2002,-32.9°, 1956 ,"  На протяжении всего дня погода в Сумах была пасмурной. Ночной мелкий снег к утру постепенно перешел в дождь со снегом. Во второй половине дня его заменил снег, который закончился только к вечеру.  "," Народный прогноз погоды: 4 февраля отмечается день памяти апостола Тимофея. В прежние времена этот день был оплотом метелей, вьюг и морозов: «Это не диво, что Афанасий-ломонос (31 января) морозил нос, а ты подожди тимофеевских морозов». Именно мороз определял предстоящую погоду. Если в мороз вспотели оконницы и рамы, надо ждать потепления. Если «снежные узоры» поднимаются вверх по стеклу, значит морозу продолжаться, а если наклонились — к оттепели. Если в полдень на Тимофея светит солнышко — весна идет ранняя."
35,Воскресенье,05,февраля,08:07,17:41,-5°,-11°,4.4°, 2002,-30.3°, 1956 ,  На протяжении всего дня небо в Сумах было покрыто облаками. Утром пошел сильный дождь со снегом и закончился в середине дня. Больше осадков не наблюдалось.  ," Народный прогноз погоды: 5 февраля почитается память святого Агафангела. В прежние времена погоду в этот день предсказывали белки и птицы. Если во время мороза она покидает гнездо и спускается с дерева, это означает, что следует ждать оттепели. Если утром наши предки отчетливо слышали крик синицы, то они готовились к серьезным морозам."
36,Понедельник,06,февраля,08:06,17:43,-10°,-15°,4.0°, 1981,-28.5°, 1956 ,"  Весь день в Сумах было облачно. Днем и вечером шел снег, который постепенно ослабевал.  "," Народный прогноз погоды: В этот день почитается память преподобной Ксении. Этот день считали переломом зимы, и по нему судили о предстоящей весне: «Какова Аксинья — такова весна». «Если на Аксинью вёдро (хорошая погода) — весна будет красная (хорошая)». Наши предки говорили: «На полузимницу дорогу переметает — корм подметает». Это означало, что зима задержится, и домашние животные съедят все заготовленные для них запасы."
37,Вторник,07,февраля,08:04,17:45,-12°,-19°,5.9°, 1974,-29.5°, 1956 ,  Пасмурная погода держалась не весь день - вечером в Сумах небо стало чистым и ясным. Без осадков.  ," Народный прогноз погоды: 7 февраля отмечается день памяти святителя Григория Богослова. В прежние времена по этому дню судили о будущей зиме. Каким этот день будет с утра до полудня, такой будет и первая половина следующей зимы, а погода с полудня до вечера указывает на вторую половину зимы. Густой туман предвещал мор скота, а ясная погода говорила о том, что будет хороший год."
38,Среда,08,февраля,08:02,17:46,-12°,-23°,5.3°," 1974, 2004",-28.7°, 1976 ,"  Весь день небо в Сумах было ясным, и тучи не омрачили его своим присутствием. Без осадков.  "," Народный прогноз погоды: 8 февраля почитается память преподобного Ксенофонта и супруги его Марии. В прежние времена предсказывать погоду нашим предкам помогали мыши: если на Ксенофонта они вылазят из-под снега, следует ждать оттепели. В старину в этот день опасались метели, поскольку она указывала на плохой урожай в будущем году: «Метель на дома — будут плохи корма»."
39,Четверг,09,февраля,08:01,17:48,-10°,-23°,4.0°, 1989,-25.6°, 1954 ,"  Погода в Сумах порадовала нас безоблачным утром, но со второй половины дня и до позднего вечера оставалась пасмурной. Без осадков.  "," Народный прогноз погоды: 9 февраля отмечается перенесение мощей святителя Иоанна Златоуста из г. Коман в г. Константинополь. Несмотря на то, что этот месяц считается самым холодным, в этот день случались оттепели. Но были они непродолжительными. Поэтому в народе говорили: «Февральская оттепель ничего не стоит». В этот день наши предки наблюдали за облаками: если облака идут против ветра — к снегу. На снегопад также указывал дым из трубы: если он стелился по земле без ветра, следовало ожидать снега."
40,Пятница,10,февраля,07:59,17:50,-5°,-13°,5.8°, 2002,-32.5°, 1985 ,  Облачная погода продержалась в Сумах до самого вечера. Без осадков.  ," Народный прогноз погоды: В этот день почитается память преподобного Ефрема Сирина. В народе этот день называли Ефрем Ветродуй. Люди боялись ветра 10 февраля, поскольку он предвещал сырое, холодное лето. Поэтому и говорили: «Не к добру летнему Ефремов ветер». Еще до нас дошли наблюдения за снегом: если выпавший ночью снег останется на ветках деревьев, то и на земле не растает."
